"Timestamp","Which of the following games have you played before?","Enter a name. This can be any non numerical string and you will use this to access your game recommendations at the end of the project."
"2021/04/07 4:09:38 PM EST","Dota 2;Counter-Strike;Counter-Strike Condition Zero;War Thunder;Terraria;PlanetSide 2;Team Fortress Classic;Call of Duty Modern Warfare 2;Metro 2033;Left 4 Dead;Grand Theft Auto V","tr5v0r"
"2021/04/14 4:46:37 PM EST","Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Chivalry Medieval Warfare;Call of Duty Black Ops II;ARK Survival Evolved;Rocket League;Star Wars - Battlefront II;Star Wars Knights of the Old Republic;Battlefield Bad Company 2","Markus"
"2021/04/16 7:24:32 PM EST","Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Fallout New Vegas;Grand Theft Auto V;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Amnesia The Dark Descent;Sid Meier's Civilization IV;Borderlands;Fallout 4;Rocket League;South Park The Stick of Truth","ian"
"2021/04/18 2:59:47 PM EST","","mobob"
"2021/04/18 3:00:41 PM EST","Counter-Strike Global Offensive;Left 4 Dead 2;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal 2;Terraria;Borderlands 2;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;BioShock Infinite;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Saints Row The Third;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Far Cry 3;Hitman Absolution;Mirror's Edge;Batman Arkham Asylum GOTY Edition;Call of Duty Black Ops II;Saints Row IV;Rocket League;Goat Simulator;Star Wars - Battlefront II;Surgeon Simulator","Nick Nolkemper "
"2021/04/18 3:03:06 PM EST","Portal;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Call of Duty Black Ops II;Rocket League","reveille"
"2021/04/18 3:03:44 PM EST","Portal 2;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;Call of Duty Black Ops;Batman Arkham City GOTY;Hitman Absolution;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Fallout 4;Call of Duty Black Ops II;Saints Row IV;ARK Survival Evolved;DC Universe Online","Michael"
"2021/04/18 3:06:57 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Portal 2;Borderlands 2;Trove;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Batman Arkham City GOTY;Batman Arkham Asylum GOTY Edition;Call of Duty Black Ops II;The Witcher Enhanced Edition;Rocket League;Batman Arkham Origins","Aniket Patel"
"2021/04/18 3:07:10 PM EST","The Elder Scrolls V Skyrim","NintendoExists"
"2021/04/18 3:13:02 PM EST","Team Fortress 2;Unturned;Left 4 Dead 2;Warframe;War Thunder;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Fistful of Frags;Star Wars - Battlefront II","Thundersoar"
"2021/04/18 3:19:38 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Grand Theft Auto V","Elaine Mo"
"2021/04/18 3:23:52 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Grand Theft Auto V","Elaine Mo"
"2021/04/18 3:25:22 PM EST","Team Fortress 2;Left 4 Dead 2;Warframe;The Elder Scrolls V Skyrim;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Grand Theft Auto V;Call of Duty Black Ops;DayZ;TERA;Chivalry Medieval Warfare;Far Cry 3;Borderlands;Fallout 4;Call of Duty Black Ops II;Rocket League;Dead Space;DC Universe Online;Star Wars - Battlefront II;Dark Souls Prepare to Die Edition;Burnout Paradise The Ultimate Box;Battlefield Bad Company 2;Middle-earth Shadow of Mordor;Space Engineers","Nando"
"2021/04/18 3:26:21 PM EST","Garry's Mod;Half-Life 2;Portal;Terraria;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Just Cause 2;Batman Arkham City GOTY;Firefall;The Binding of Isaac;Fallout 4;Super Meat Boy;Goat Simulator;Dark Souls Prepare to Die Edition;Starbound;The Forest;The Walking Dead;The Stanley Parable;Surgeon Simulator;South Park The Stick of Truth","Bethany"
"2021/04/18 3:29:06 PM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Warframe;Garry's Mod;Borderlands 2;PlanetSide 2;Grand Theft Auto San Andreas;Neverwinter;Call of Duty Black Ops;DayZ;Call of Duty Modern Warfare 3;GunZ 2 The Second Duel;Grand Theft Auto Vice City;Mirror's Edge;Borderlands;Call of Duty Black Ops II;Rocket League;SMITE;Star Wars - Battlefront II;LIMBO;Battlefield Bad Company 2;South Park The Stick of Truth","Murat"
"2021/04/18 3:30:37 PM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Heroes & Generals;Half-Life 2;Sid Meier's Civilization V;War Thunder;Portal;Portal 2;Day of Defeat;Terraria;Borderlands 2;PAYDAY 2;Day of Defeat Source;PlanetSide 2;Half-Life;Loadout;Call of Duty Modern Warfare 2;Dirty Bomb;Grand Theft Auto V;Arma 2;Empire Total War;Tomb Raider;Call of Duty Black Ops;Arma 2 Operation Arrowhead;DayZ;Just Cause 2;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Chivalry Medieval Warfare;Rust;Batman Arkham City GOTY;Total War SHOGUN 2;Insurgency;Half-Life Source;Euro Truck Simulator 2;Borderlands;Batman Arkham Asylum GOTY Edition;Castle Crashers;Dishonored;Call of Duty Black Ops II;The Witcher Enhanced Edition;Napoleon Total War;Total War ROME II - Emperor Edition;ARK Survival Evolved;Gotham City Impostors Free To Play;Arma 3;Rocket League;Fistful of Frags;DC Universe Online;Batman Arkham Origins;Goat Simulator;SMITE;Star Wars - Battlefront II;H1Z1;Starbound;The Forest;Mount & Blade Warband;Star Wars Knights of the Old Republic;ORION Prelude;Battlefield Bad Company 2;Serious Sam 3 BFE;Age of Empires II HD The Forgotten;The Lord of the Rings Online;Star Conflict;Middle-earth Shadow of Mordor;Medieval II Total War;Space Engineers","deRvyn"
"2021/04/18 3:32:08 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Left 4 Dead 2;Warframe;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;Path of Exile;Dirty Bomb;Tom Clancy's Ghost Recon Phantoms - NA;Clicker Heroes;HAWKEN;TERA;AdVenture Capitalist;Don't Starve;XCOM Enemy Unknown;The Binding of Isaac;Dishonored;Fallout 4;The Witcher Enhanced Edition;SMITE;LIMBO","lionunicorn"
"2021/04/18 3:34:45 PM EST","Portal;Portal 2;Call of Duty Black Ops;BioShock;Batman Arkham City GOTY;Grand Theft Auto Vice City;Don't Starve;Borderlands;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Call of Duty Black Ops II;LIMBO","EmilyC"
"2021/04/18 3:36:46 PM EST","Counter-Strike;The Elder Scrolls V Skyrim;Grand Theft Auto IV;Grand Theft Auto V;Batman Arkham Asylum GOTY Edition;SMITE;The Stanley Parable;South Park The Stick of Truth","kimberly"
"2021/04/18 3:41:55 PM EST","Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto V","1"
"2021/04/18 3:47:24 PM EST","Warframe;Borderlands 2;Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;The Binding of Isaac;Borderlands;Call of Duty Black Ops II;Rocket League;FTL Faster Than Light;SMITE;Surgeon Simulator","Kyle"
"2021/04/18 3:48:37 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Garry's Mod;The Elder Scrolls V Skyrim;Half-Life 2;Sid Meier's Civilization V;War Thunder;Portal 2;Terraria;PAYDAY 2;Half-Life;Call of Duty Modern Warfare 2;Grand Theft Auto V;Sniper Elite V2;Call of Duty Modern Warfare 3;Chivalry Medieval Warfare;Grand Theft Auto Vice City;Far Cry 3;Rising Storm/Red Orchestra 2 Multiplayer;Don't Starve;Insurgency;Dishonored;Fallout 4;Call of Duty Black Ops II;Napoleon Total War;Total War ROME II - Emperor Edition;Saints Row IV;ARK Survival Evolved;Rocket League;Dead Space;Goat Simulator;SMITE;Star Wars - Battlefront II;Orcs Must Die! 2;Starbound;Natural Selection 2;Medieval II Total War;Space Engineers;Rome Total War","Diego"
"2021/04/18 3:54:14 PM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Counter-Strike Condition Zero;Heroes & Generals;Half-Life 2;Sid Meier's Civilization V;War Thunder;Portal;Portal 2;Day of Defeat;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Team Fortress Classic;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Fallout New Vegas;Dirty Bomb;Tom Clancy's Ghost Recon Phantoms - NA;Metro 2033;Left 4 Dead;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;Arma 2;Empire Total War;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;Arma 2 Operation Arrowhead;DayZ;Just Cause 2;Sniper Elite V2;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Torchlight II;BioShock;Chivalry Medieval Warfare;Defiance;Quake Live;Batman Arkham City GOTY;Grand Theft Auto Vice City;Far Cry 3;Hitman Absolution;Sid Meier's Civilization IV;XCOM Enemy Unknown;Company of Heroes (New Steam Version);BioShock 2;Borderlands;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Blacklight Retribution;Dishonored;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;Napoleon Total War;Total War ROME II - Emperor Edition;Saints Row IV;Arma 3;FTL Faster Than Light;Crysis 2 Maximum Edition;Batman Arkham Origins;Star Wars - Battlefront II;Cities Skylines;America's Army Proving Grounds;Battlefield Bad Company 2;Prison Architect;Age of Empires II HD The Forgotten;Red Faction Armageddon;Medal of Honor(TM) Single Player;Middle-earth Shadow of Mordor;Medieval II Total War;The Stanley Parable;Mass Effect 2;Space Engineers;Rome Total War","Max"
"2021/04/18 3:54:36 PM EST","Dota 2;Unturned;Counter-Strike Global Offensive;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;War Thunder;Terraria;Borderlands 2;Dead Island Epidemic;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Fallout New Vegas;Warface;Neverwinter;Left 4 Dead;Grand Theft Auto V;Call of Duty Black Ops;DayZ;Just Cause 2;Call of Duty Modern Warfare 3;Dead Island;Defiance;Rust;Batman Arkham City GOTY;Far Cry 3;Borderlands;Batman Arkham Asylum GOTY Edition;Blacklight Retribution;Fallout 4;Call of Duty Black Ops II;ARK Survival Evolved;Arma 3;Rocket League;SMITE;Star Wars - Battlefront II;Burnout Paradise The Ultimate Box;Battlefield Bad Company 2","Joseph"
"2021/04/18 4:01:35 PM EST","Unturned;Left 4 Dead 2;The Elder Scrolls V Skyrim;Portal;Portal 2;Call of Duty Modern Warfare 2;Fallout New Vegas;Metro 2033;Grand Theft Auto IV;Grand Theft Auto V;Saints Row The Third;Call of Duty Black Ops;DayZ;Call of Duty Modern Warfare 3;Dead Island;Amnesia The Dark Descent;Far Cry 3;Euro Truck Simulator 2;Dishonored;Fallout 4;Call of Duty Black Ops II;Saints Row IV;Dead Space;Goat Simulator;LIMBO;The Forest;The Walking Dead;Cities Skylines;Fallen Earth;Prison Architect","Robit"
"2021/04/18 4:06:36 PM EST","Team Fortress 2;Unturned;Counter-Strike Global Offensive;Left 4 Dead 2;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Call of Duty Modern Warfare 2;BioShock Infinite;Grand Theft Auto IV;Grand Theft Auto V;Arma 2;Empire Total War;Call of Duty Black Ops;Arma 2 Operation Arrowhead;Killing Floor;BioShock 2;Borderlands;Realm of the Mad God;Fallout 4;Call of Duty Black Ops II;Rocket League;FTL Faster Than Light;Toribash;SMITE;Bastion;Starbound;Cities Skylines;Prison Architect;Space Engineers","John johnson-son"
"2021/04/18 4:19:27 PM EST","Team Fortress 2;Unturned;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Garry's Mod;The Elder Scrolls V Skyrim;Counter-Strike Condition Zero;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Day of Defeat;Ricochet;Deathmatch Classic;Terraria;Borderlands 2;PAYDAY 2;Day of Defeat Source;Counter-Strike Nexon Zombies;PlanetSide 2;Half-Life;Team Fortress Classic;Loadout;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Path of Exile;Fallout New Vegas;Tom Clancy's Ghost Recon Phantoms - NA;BioShock Infinite;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Amnesia The Dark Descent;HAWKEN;BioShock;Chivalry Medieval Warfare;Far Cry 3;Don't Starve;Hitman Absolution;XCOM Enemy Unknown;The Binding of Isaac;Insurgency;Half-Life Source;Mirror's Edge;BioShock 2;Borderlands;Blacklight Retribution;Dishonored;Call of Duty Black Ops II;ARK Survival Evolved;Cry of Fear;Rocket League;Fistful of Frags;Super Meat Boy;Crysis 2 Maximum Edition;Goat Simulator;SMITE;Star Wars - Battlefront II;Starbound;LIMBO;Mount & Blade Warband;BattleBlock Theater;ORION Prelude;The Walking Dead;Middle-earth Shadow of Mordor;Surgeon Simulator","Sam"
"2021/04/18 4:25:06 PM EST","Counter-Strike;Warframe;Marvel Heroes 2015;Rocket League","Jake"
"2021/04/18 4:25:44 PM EST","Terraria;Call of Duty Modern Warfare 2;Grand Theft Auto III;Goat Simulator;The Lord of the Rings Online","Paul"
"2021/04/18 4:35:05 PM EST","Counter-Strike Global Offensive;Warframe;The Elder Scrolls V Skyrim;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Path of Exile;Fallout New Vegas;Warface;BioShock Infinite;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;APB Reloaded;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;DayZ;Call of Duty Modern Warfare 3;Dead Island;TERA;BioShock;Chivalry Medieval Warfare;AdVenture Capitalist;Defiance;Killing Floor;Grand Theft Auto Vice City;Far Cry 3;Sid Meier's Civilization IV;XCOM Enemy Unknown;Mirror's Edge;BioShock 2;Borderlands;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Dishonored;Fallout 4;Call of Duty Black Ops II;Saints Row IV;Deus Ex Human Revolution;Rocket League;Darksiders;DC Universe Online;Mafia II;SMITE;Star Wars - Battlefront II;H1Z1;LIMBO;Free to Play;Star Wars Knights of the Old Republic;The Walking Dead;Cities Skylines;Battlefield Bad Company 2;Max Payne 3;Hotline Miami;Red Faction Armageddon;Medal of Honor(TM) Single Player;South Park The Stick of Truth","Preston"
"2021/04/18 4:44:56 PM EST","Dota 2;Garry's Mod;War Thunder;Portal 2;Terraria;Borderlands 2;Mirror's Edge;Castle Crashers;Rocket League;FTL Faster Than Light;Bastion","Alsten"
"2021/04/18 5:00:28 PM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Half-Life;Trove;Team Fortress Classic;Loadout;Call of Duty Modern Warfare 2;Path of Exile;BioShock Infinite;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Clicker Heroes;Just Cause 2;Call of Duty Modern Warfare 3;TERA;BioShock;Chivalry Medieval Warfare;AdVenture Capitalist;Batman Arkham City GOTY;Far Cry 3;Don't Starve;Hitman Absolution;The Binding of Isaac;Mirror's Edge;Euro Truck Simulator 2;BioShock 2;Batman Arkham Asylum GOTY Edition;Castle Crashers;Dishonored;Realm of the Mad God;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;Gotham City Impostors Free To Play;RIFT;Rocket League;FTL Faster Than Light;Toribash;Super Meat Boy;Saints Row 2;Goat Simulator;SMITE;The Mighty Quest For Epic Loot;Bastion;LIMBO;BattleBlock Theater;Prison Architect;Hotline Miami;The Stanley Parable;Surgeon Simulator","Riley Needham"
"2021/04/18 5:05:49 PM EST","Counter-Strike Global Offensive;Portal;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Grand Theft Auto Vice City;Euro Truck Simulator 2;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Call of Duty Black Ops II;Batman Arkham Origins;Max Payne 3","Arsh"
"2021/04/18 5:12:22 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Borderlands 2;Call of Duty Modern Warfare 2;Neverwinter;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II","HarryA"
"2021/04/18 6:14:55 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Borderlands 2;Call of Duty Modern Warfare 2;Neverwinter;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II","HarryA"
"2021/04/18 6:24:04 PM EST","Portal;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Call of Duty Black Ops II;Rocket League","reveille"
"2021/04/18 6:24:23 PM EST","War Thunder;Call of Duty Modern Warfare 3;Age of Empires II HD The Forgotten","Nathan"
"2021/04/18 6:52:16 PM EST","Team Fortress 2;Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Terraria;PlanetSide 2;Call of Duty Modern Warfare 3","hoover"
"2021/04/18 7:18:38 PM EST","Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Marvel Heroes 2015;Grand Theft Auto V;Defiance;DC Universe Online","Aco"
"2021/04/18 7:50:56 PM EST","Team Fortress 2;Terraria;Grand Theft Auto V;Far Cry 3;Fallout 4;Super Meat Boy","Tanner Causey"
"2021/04/18 7:55:21 PM EST","Team Fortress 2;Garry's Mod;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Half-Life;Fallout New Vegas;Tomb Raider;Age of Empires II HD Edition;Amnesia The Dark Descent;AdVenture Capitalist;Batman Arkham City GOTY;The Binding of Isaac;Euro Truck Simulator 2;Batman Arkham Asylum GOTY Edition;Fallout 4;The Witcher Enhanced Edition;Batman Arkham Origins;Goat Simulator;Cities Skylines;Prison Architect;Middle-earth Shadow of Mordor;The Stanley Parable;Surgeon Simulator","Rachel"
"2021/04/18 7:58:02 PM EST","Team Fortress 2;Unturned;Left 4 Dead 2;Warframe;War Thunder;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Fistful of Frags;Star Wars - Battlefront II","Thundersoar"
"2021/04/18 7:58:22 PM EST","Counter-Strike Global Offensive;Warframe;The Elder Scrolls V Skyrim;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Warface;Call of Duty Black Ops;Call of Duty Black Ops II;ARK Survival Evolved;DC Universe Online;Starbound;LIMBO;Middle-earth Shadow of Mordor;The Stanley Parable;Space Engineers","Sunny"
